mode	backend	clients	run	vanilla_tps	pgt_tps	vanilla_lat_ms	pgt_lat_ms	vanilla_conn_ms	pgt_conn_ms	vanilla_failed	pgt_failed
select	spi	4	1	659.527724	7209.473474	6.065	0.555	3.514	0.343	0	0
select	spi	4	2	654.423136	6979.499146	6.112	0.573	3.548	0.356	0	0
select	spi	4	3	650.565569	7189.964799	6.148	0.556	3.564	0.344	0	0
select	spi	16	1	822.507532	11945.262293	19.453	1.339	11.622	0.813	0	0
select	spi	16	2	831.699955	11921.869405	19.238	1.342	11.595	0.814	0	0
select	spi	16	3	829.600050	11985.708926	19.286	1.335	11.580	0.809	0	0
select	spi	32	1	824.762408	12147.324158	38.799	2.634	24.619	1.771	0	0
select	spi	32	2	821.589802	12011.979883	38.949	2.664	24.857	1.790	0	0
select	spi	32	3	826.263607	12227.201866	38.729	2.617	24.584	1.753	0	0
