connections	backend	run	iters	vanilla_p50_us	pgt_p50_us	vanilla_p95_us	pgt_p95_us	vanilla_mean_us	pgt_mean_us	vanilla_qps	pgt_qps
1	spi	1	2000	151.0	140.6	170.4	212.6	155.7	155.3	6416.3	6434.2
1	spi	2	2000	146.2	140.4	157.6	155.4	148.7	142.6	6722.4	7009.1
1	spi	3	2000	148.1	138.3	160.2	151.7	149.7	140.0	6677.0	7139.1
1	direct	1	2000	151.3	135.3	170.7	152.4	154.7	137.0	6459.9	7292.5
1	direct	2	2000	149.7	190.9	224.3	212.2	159.1	181.3	6280.8	5510.8
1	direct	3	2000	151.8	136.5	187.9	154.6	158.0	139.3	6321.0	7170.7
4	spi	1	4000	232.2	203.5	299.7	261.7	230.4	209.2	16379.4	18797.7
4	spi	2	4000	226.2	199.4	298.1	231.9	227.7	199.4	17199.2	19855.9
4	spi	3	4000	227.8	200.5	302.8	232.5	230.6	199.9	16740.2	19701.0
4	direct	1	4000	230.6	190.8	295.3	226.2	227.0	191.6	16705.7	20733.8
4	direct	2	4000	223.3	189.7	297.6	222.0	224.0	189.2	17001.9	21083.9
4	direct	3	4000	212.9	197.1	271.6	259.0	212.1	202.3	18168.3	19476.7
8	spi	1	8000	333.4	288.6	496.6	433.8	347.8	299.9	22613.9	26395.9
8	spi	2	8000	338.1	279.6	507.2	407.6	352.0	286.5	22465.3	27578.3
8	spi	3	8000	341.5	282.1	510.8	415.7	354.6	291.2	22264.3	27169.3
8	direct	1	8000	337.4	269.8	505.0	408.3	352.6	279.9	22285.9	28314.3
8	direct	2	8000	338.6	266.9	504.6	402.3	351.1	276.6	22467.5	28391.9
8	direct	3	8000	334.2	266.9	494.3	393.8	347.9	276.0	22745.6	28762.8
16	spi	1	16000	500.4	411.7	817.3	683.4	526.3	434.4	29214.2	35654.5
16	spi	2	16000	496.4	404.6	812.5	669.6	527.3	427.9	28737.8	35854.1
16	spi	3	16000	501.0	430.3	825.1	735.9	531.9	457.9	28959.1	34358.9
16	direct	1	16000	482.7	410.1	783.8	708.4	514.0	436.9	29983.2	35957.3
16	direct	2	16000	499.1	409.2	816.2	690.5	528.8	433.5	28802.2	35946.3
16	direct	3	16000	469.5	390.6	773.6	647.9	509.9	413.0	30084.4	37282.1
