mode	backend	clients	run	vanilla_tps	pgt_tps	vanilla_lat_ms	pgt_lat_ms	vanilla_conn_ms	pgt_conn_ms	vanilla_failed	pgt_failed
select	spi	4	1	661.384026	7125.300958	6.048	0.561	3.528	0.346	0	0
select	spi	4	2	640.542202	7148.727757	6.245	0.560	3.647	0.345	0	0
select	spi	4	3	645.003101	7177.261361	6.202	0.557	3.627	0.344	0	0
select	spi	16	1	827.553690	11935.442066	19.334	1.341	11.596	0.809	0	0
select	spi	16	2	829.524061	12036.699827	19.288	1.329	11.625	0.803	0	0
select	spi	16	3	829.472531	12075.345476	19.289	1.325	11.634	0.800	0	0
select	spi	32	1	809.339967	12457.919680	39.538	2.569	25.370	1.717	0	0
select	spi	32	2	818.713100	12472.474505	39.086	2.566	24.912	1.714	0	0
select	spi	32	3	820.505118	12137.159345	39.000	2.637	24.929	1.766	0	0
