mode	backend	clients	run	vanilla_tps	pgt_tps	vanilla_lat_ms	pgt_lat_ms	vanilla_conn_ms	pgt_conn_ms	vanilla_failed	pgt_failed
select	spi	8	1	35468.661998	35952.151219	0.226	0.223	6.029	7.771	0	0
select	spi	8	2	35907.013075	35208.146338	0.223	0.227	6.315	7.832	0	0
select	spi	8	3	35850.802911	35909.963096	0.223	0.223	5.915	7.793	0	0
select	direct	8	1	35992.067194	35886.287476	0.222	0.223	5.887	7.715	0	0
select	direct	8	2	36108.057409	35797.647306	0.222	0.223	5.823	7.627	0	0
select	direct	8	3	36395.310727	35818.270618	0.220	0.223	5.974	8.618	0	0
nupdate	spi	8	1	2385.841266	2282.529851	3.353	3.505	5.951	7.651	0	0
nupdate	spi	8	2	2386.402373	2442.099664	3.352	3.276	5.944	7.609	0	0
nupdate	spi	8	3	2419.509833	2371.320379	3.306	3.374	6.197	7.884	0	0
nupdate	direct	8	1	2292.355162	2381.212787	3.490	3.360	5.931	7.837	0	0
nupdate	direct	8	2	2279.459676	2154.989599	3.510	3.712	5.868	8.090	0	0
nupdate	direct	8	3	2214.626267	2272.507501	3.612	3.520	6.006	7.690	0	0
tpcb	spi	8	1	488.549753	504.442270	16.375	15.859	6.601	7.653	0	0
tpcb	spi	8	2	477.464514	505.079649	16.755	15.839	5.989	7.716	0	0
tpcb	spi	8	3	483.115313	514.176265	16.559	15.559	5.989	7.801	0	0
tpcb	direct	8	1	512.457870	533.188431	15.611	15.004	5.931	7.467	0	0
tpcb	direct	8	2	498.494755	522.077237	16.048	15.323	6.017	7.562	0	0
tpcb	direct	8	3	485.776367	519.637333	16.468	15.395	5.939	7.751	0	0
